date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-05,Stockholm,14992,58.9034,17.9479,0,0,0,0,1,0
2020-04-05,Stockholm,14995,58.9034,17.9479,0,0,0,0,0,0
2020-04-05,Stockholm,15021,59.05,17.4167,0,0,0,0,0,0
2020-04-05,Stockholm,15023,59.05,17.4167,0,0,0,0,0,0
2020-04-05,Stockholm,15100,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15101,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15102,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15104,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15106,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15108,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15109,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15110,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15113,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15120,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15121,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15122,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15123,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15124,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15126,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15127,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15129,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15132,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15133,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15134,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15135,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15136,59.1955,17.6252,1,0,0,0,0,0
2020-04-05,Stockholm,15137,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15138,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15139,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15140,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15144,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15145,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15146,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15147,59.1955,17.6252,1,0,0,0,0,0
2020-04-05,Stockholm,15148,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15152,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15153,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15154,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15155,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15156,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15159,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15160,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15161,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15162,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15163,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15164,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15165,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15168,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15171,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15172,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15173,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15181,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15182,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15183,59.1955,17.6252,0,0,0,0,0,0
2020-04-05,Stockholm,15184,59.1955,17.6252,0,0,0,0,0,0
